[2019-08-25 17:10:54]	run	elapsedTime	successRate
[2019-08-25 17:11:28]	1/6	0:00:00	1
[2019-08-25 17:12:01]	2/6	0:00:32	2
[2019-08-25 17:12:33]	3/6	0:01:05	3
[2019-08-25 17:13:08]	4/6	0:01:37	4
[2019-08-25 17:13:35]	5/6	0:02:11	5
[2019-08-25 17:14:07]	6/6	0:02:39	6
