Algorithm,Fi - D30,Best,Worst,Median,Mean,Std Dev,Success Rate (%),Elapsed Time (min)
DE/best/1/bin,F2,8.05E-09,9.98E-09,9.76E-09,9.59E-09,4.57E-10,100.00,198.3
DE/best/1/bin,F7,8.30E-09,1.10E-01,7.40E-03,1.42E-02,1.92E-02,39.22,437.58
DE/best/1/bin,F14,1.39E-01,9.53E-01,3.00E-01,3.09E-01,1.16E-01,0.00,1046.48
DE/best/1/bin,F6,5.58E+00,2.18E+01,1.26E+01,1.28E+01,3.58E+00,0.00,603.23
DE/best/1/bin,F9,4.48E+01,2.02E+02,8.56E+01,8.71E+01,3.08E+01,0.00,1046.87
DE/best/1/bin,F1,1.01E+02,2.99E+04,6.20E+03,7.36E+03,5.93E+03,0.00,654.97
ODE/best/1/bin,F7,7.86E-09,2.08E-01,1.72E-02,2.65E-02,3.76E-02,25.49,373.13
ODE/best/1/bin,F2,8.50E-09,1.00E-08,9.61E-09,9.55E-09,3.46E-10,100.00,153.93
ODE/best/1/bin,F14,1.39E-01,4.30E-01,2.87E-01,2.84E-01,5.62E-02,0.00,461.67
ODE/best/1/bin,F6,6.42E+00,2.45E+01,1.22E+01,1.28E+01,3.73E+00,0.00,509.08
ODE/best/1/bin,F9,3.88E+01,2.58E+02,7.66E+01,9.11E+01,4.01E+01,0.00,488.73
ODE/best/1/bin,F1,1.57E+02,1.98E+04,6.46E+03,7.35E+03,5.23E+03,0.00,465.77
QODE/best/1/bin,F7,9.58E-09,4.04E+00,4.42E-02,2.03E-01,5.87E-01,9.80,485.7
QODE/best/1/bin,F2,5.35E-05,3.35E+04,7.59E+03,1.01E+04,1.02E+04,0.00,518.32
QODE/best/1/bin,F1,1.35E+03,4.06E+05,1.92E+04,4.49E+04,7.20E+04,0.00,522.03
