Algorithm,Fi - D30,Best,Worst,Median,Mean,Std Dev,Success Rate (%),Elapsed Time (min)
ODE/best/1/bin,F7,7.86E-09,2.08E-01,1.72E-02,2.65E-02,3.76E-02,25.49,373.13
ODE/best/1/bin,F2,8.50E-09,1.00E-08,9.61E-09,9.55E-09,3.46E-10,100.00,153.93
ODE/best/1/bin,F14,1.39E-01,4.30E-01,2.87E-01,2.84E-01,5.62E-02,0.00,461.67
ODE/best/1/bin,F6,6.42E+00,2.45E+01,1.22E+01,1.28E+01,3.73E+00,0.00,509.08
ODE/best/1/bin,F9,3.88E+01,2.58E+02,7.66E+01,9.11E+01,4.01E+01,0.00,488.73
ODE/best/1/bin,F1,1.57E+02,1.98E+04,6.46E+03,7.35E+03,5.23E+03,0.00,465.77
