Algorithm,Fi - D30,Best,Worst,Median,Mean,Std Dev,Success Rate (%),Elapsed Time (min)
DE/best/1/bin,F2,8.05E-09,9.98E-09,9.76E-09,9.59E-09,4.57E-10,100.00,198.3
DE/best/1/bin,F7,8.30E-09,1.10E-01,7.40E-03,1.42E-02,1.92E-02,39.22,437.58
DE/best/1/bin,F14,1.39E-01,9.53E-01,3.00E-01,3.09E-01,1.16E-01,0.00,1046.48
DE/best/1/bin,F6,5.58E+00,2.18E+01,1.26E+01,1.28E+01,3.58E+00,0.00,603.23
DE/best/1/bin,F9,4.48E+01,2.02E+02,8.56E+01,8.71E+01,3.08E+01,0.00,1046.87
DE/best/1/bin,F1,1.01E+02,2.99E+04,6.20E+03,7.36E+03,5.93E+03,0.00,654.97
