algorithm,#Fc,D,percFES,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,run_31,run_32,run_33,run_34,run_35,run_36,run_37,run_38,run_39,run_40,run_41,run_42,run_43,run_44,run_45,run_46,run_47,run_48,run_49,run_50,run_51,mean,elapsed_time,evals
DE/best/1/bin,2,30,0.01,1556128990.4924743,3126864717.496793,1607785552.2503128,1825346302.6004093,2060047338.7961712,2431093094.804872,2234886536.179938,3800181307.5556326,6734926896.630871,845929579.2150648,5298126097.852337,1548379052.3353448,2990128643.959334,1254202623.584098,2301024210.285522,1861467947.4467235,1358355537.2350352,2350513809.935659,1692510288.0931273,1287198128.4109113,1292595407.0095346,2789651402.8826184,2465858026.885309,1561915835.567729,3305541302.6442327,3971094828.3067603,1649616027.5634687,1169362128.9176793,1917284342.9708922,2850462734.9786854,2250849985.8185453,2767442135.874936,2678693625.314845,1984687072.8960898,1509355477.7974072,2202850811.8488183,1328964455.3523948,2567867720.5102897,3077561175.59023,2399006937.706897,4639336513.454889,1658850353.5050774,2586308024.0379143,1753425808.0160422,2931766651.777929,8351322027.124269,3757999110.6756797,2126578466.4622872,1245930344.5285366,2130239696.6601636,1486798512.260247,2481849286.276491,0:07:15,2910
DE/best/1/bin,2,30,0.1,1592.022561945014,13428.674766262506,1883.3676274873576,9362.858332488571,1179.8597209811642,8.804369268241345,28425.585638836845,191.6999322352685,236.34381388225827,712.3175717488708,400.68983543116906,118.83218597255006,2101.1753786370277,0.7988258692682848,18593.844345213878,0.7081733690162935,2032.8130150001793,61.29399615792153,1830.978286069103,0.8343294071178775,870.5222431903818,455.6448185921042,460.92809718040144,1659.9601524440127,3501.904873196877,190.40961994639224,220.91950968015684,2620.292306443596,90.09150239308347,9374.493026046648,3336.174745872326,70.09640925019517,10.940512716620534,3845.9352064018294,3611.09731117303,128.90902826499814,108.7710898702633,491.970009115674,108.90530556616864,1436.7824294171398,30.202681585530826,429.395309530207,197.14885204506245,2.2067809928290667,98.32155430833126,2275.504316808217,496.3663420607636,987.9817944593719,3955.7212910524872,530.3748068624845,3371.2734684060542,2492.7989823752273,1:22:00,29040
DE/best/1/bin,2,30,0.2,1.595348217620085e-05,2.6088332560902927e-07,0.0012107809506574085,2.6644016770660528e-08,0.0006753711063254286,9.697203040559543e-09,3.8439393080125235e-05,0.00018430083781595383,1.1426933753000412e-05,0.005661473219134905,4.05530656450992e-05,0.00018500928641174141,9.494783625996206e-09,2.9520820788775378e-05,0.0004884777489166936,1.953500344598069e-06,9.587665772414766e-09,0.005682266613035836,2.636352292029187e-08,2.6510150519243325e-08,1.1980744716311165e-06,1.7226402633241378e-06,5.016314901240547e-07,1.4364104572450742e-07,4.97144952760209e-07,1.1585515863998806e-05,3.5924048802371544e-07,9.728239490414126e-05,6.581508472436327e-06,0.0003391679437925177,0.0009270461739561142,2.479656302512012e-07,1.1392941701160453e-06,6.828003336067923e-07,9.436803338758182e-09,2.201616467800704e-06,0.006096933445860486,2.4401466873769087e-06,0.2887667445870932,0.0007192907245325841,1.003439251689997e-07,0.1996467206744512,2.2063193625854183e-05,0.002869669025812982,6.328338031380554e-08,0.0015610609674183704,4.888639074351886e-05,9.22999510066802e-06,3.428899134405583e-06,8.717827705595482e-05,0.002844724509770913,0.010162643090714765,2:41:21,58080
DE/best/1/bin,2,30,0.3,9.952088930731405e-09,2.363114504078112e-08,9.060016736839316e-09,9.93821913652937e-09,2.5783947421587072e-08,9.463690275879344e-09,9.308422477261049e-09,9.772463727131251e-09,9.56117673922563e-09,8.679222673890763e-09,8.484022373522748e-09,9.613017937226687e-09,9.585619409335776e-09,9.940947620634688e-09,8.868823897500988e-09,8.527990758011583e-09,9.6779046998563e-09,9.875975592876785e-09,8.41239966575813e-09,3.67050745353481e-08,9.761549790709978e-09,9.808530876398437e-09,9.20033471629722e-09,9.327635552836e-09,9.92696413959493e-09,9.7946610821964e-09,8.99703422874154e-09,9.99170879367739e-09,9.984745474866942e-09,9.116257615460199e-08,9.197397901061777e-07,9.407358447788285e-09,9.471790463067009e-09,9.781132348507526e-09,1.6668252555973595e-08,9.954874258255586e-09,9.697089353721822e-09,9.975678949558642e-09,9.752540108820542e-09,9.742308293425594e-09,9.491856189924873e-09,9.604463002688137e-09,9.395250799570931e-09,9.121578159465573e-09,9.480203289058409e-09,8.845688626024641e-09,9.35438038141001e-09,9.835105174715865e-09,9.845848580880556e-09,9.588546845407107e-09,9.195844086207215e-09,3.0210735107460764e-08,3:15:13,77940
DE/best/1/bin,2,30,0.4,9.315982651969534e-09,8.523670658178162e-09,9.0391552021174e-09,9.617878049539286e-09,9.910536391544156e-09,9.840391612669919e-09,9.028099157148972e-09,9.754842267284404e-09,9.717609827930573e-09,9.686516477813711e-09,8.838156873025582e-09,9.922331400957772e-09,9.947513035513111e-09,9.422336688658106e-09,8.813088925307966e-09,9.932392686096136e-09,9.93176740848867e-09,9.539576240058523e-09,9.22636900213547e-09,9.977441095543328e-09,9.62376134339138e-09,9.763397201822954e-09,9.914231213770108e-09,9.657100008553245e-09,8.995669986688881e-09,8.4764053553954e-09,9.992163541028276e-09,9.814868917601416e-09,9.374446108267877e-09,9.676710988060222e-09,9.939583378582027e-09,8.75425598678703e-09,9.805575018617675e-09,9.992021432481124e-09,8.677375262777787e-09,9.261896138923477e-09,9.271786893805256e-09,9.927987321134424e-09,9.992959348892327e-09,9.535654044157129e-09,9.904681519401493e-09,9.67662572293193e-09,9.53016865423706e-09,9.884331575449323e-09,9.358330999020836e-09,9.944926659954945e-09,9.76169189925713e-09,9.256126531909104e-09,9.717041393741964e-09,9.399059308634605e-09,9.752199048307375e-09,9.541542910893425e-09,3:15:17,82980
DE/best/1/bin,2,30,0.5,9.890584351524012e-09,9.432085334992736e-09,9.938503353623672e-09,8.765283610046026e-09,9.930175792760565e-09,9.735174444358563e-09,9.978151638279089e-09,9.097107067645993e-09,9.241887255484473e-09,9.500865871814312e-09,9.881802043310016e-09,9.694474556454223e-09,9.163130698652822e-09,8.104535709207994e-09,9.984887583414093e-09,9.80881509349274e-09,9.889220109471353e-09,9.711357051855884e-09,9.152927304967308e-09,9.815494195208883e-09,8.419931418757187e-09,9.775646958587458e-09,9.512291399005335e-09,9.802562317418053e-09,9.491145647189114e-09,9.539860457152828e-09,9.391868616148711e-09,9.827289204622502e-09,9.3929770628165e-09,9.021874802783714e-09,9.326015515398469e-09,9.875918749457924e-09,9.40221411838138e-09,9.93605908661266e-09,8.589296385252965e-09,9.996171002057963e-09,7.375433597189841e-09,9.33039245865075e-09,9.987985549742007e-09,9.63137836151873e-09,9.892460184346419e-09,9.721333071865956e-09,9.241233556167573e-09,9.985285487346118e-09,9.990031912820996e-09,9.967948244593572e-09,9.77777858679474e-09,9.531134992357693e-09,7.868436568969628e-09,9.581015092408052e-09,9.747651574798509e-09,9.483276177407413e-09,3:15:08,68610
DE/best/1/bin,2,30,0.6,9.886633733913186e-09,9.107992582357838e-09,9.88686110758863e-09,9.95794380287407e-09,9.104752507482772e-09,9.890982255456038e-09,9.210623375111028e-09,9.74125669017667e-09,9.93676962934842e-09,9.682707968750036e-09,9.900190889311489e-09,8.685020702614565e-09,9.769877351573086e-09,9.80455183707818e-09,9.949957302524126e-09,9.851419235928915e-09,9.753080121299718e-09,9.838629466685234e-09,9.295746394855088e-09,8.401570994465146e-09,9.990856142394479e-09,9.609635753804467e-09,9.868330153040006e-09,9.847070714386064e-09,9.851419235928915e-09,9.653774668549886e-09,9.482050700171385e-09,9.253227517547202e-09,9.733099659570144e-09,9.761237151906245e-09,9.544805834593717e-09,9.843375892160111e-09,9.299810699303634e-09,9.299782277594204e-09,9.917044963003717e-09,9.365408004669007e-09,9.400196177011821e-09,9.83143877419934e-09,9.979800097426049e-09,9.755041219250415e-09,9.793694744075765e-09,9.959933322534198e-09,9.850623428064864e-09,9.634902653488098e-09,9.488303476246074e-09,9.678444712335477e-09,9.391499133926118e-09,9.382773669130984e-09,9.923809329848154e-09,9.141132295553689e-09,9.7681152055884e-09,9.626611873660724e-09,3:14:00,86640
DE/best/1/bin,2,30,0.7,9.495067843090508e-09,9.69413349594106e-09,9.913037501974031e-09,9.907665798891685e-09,9.641638598623105e-09,9.6646317615523e-09,9.873161843643176e-09,9.866710115602473e-09,9.396671885042451e-09,9.953851076716091e-09,9.193428240905632e-09,9.93676962934842e-09,9.761976116351434e-09,9.563905223330949e-09,9.985399174183842e-09,9.651728305470895e-09,9.482619134359991e-09,9.257917099603219e-09,9.908433185046306e-09,9.78985781330266e-09,9.979487458622316e-09,9.976446335713264e-09,9.9431076705514e-09,9.894989716485723e-09,9.806910838960904e-09,9.753165386428007e-09,9.734719697007675e-09,9.481624374529927e-09,9.161396974377569e-09,9.957716429198626e-09,9.629189889892588e-09,9.710760195957846e-09,9.915623877532198e-09,9.524342203803826e-09,9.800857014852227e-09,9.928044164553285e-09,9.844171700024162e-09,9.596817562851356e-09,9.993499361371503e-09,9.332381978310876e-09,9.783605037227971e-09,9.9446992862795e-09,8.253181249529007e-09,9.544123713567387e-09,9.50706180447014e-09,9.98187488221447e-09,9.444931947655276e-09,9.186408078676322e-09,9.924008281814169e-09,9.0637399807747e-09,8.937718121160287e-09,9.656376648183818e-09,3:13:21,58230
DE/best/1/bin,2,30,0.8,9.646043963584816e-09,8.804875051282579e-09,9.925059885063092e-09,9.752739060786553e-09,9.779682841326576e-09,9.447404636375722e-09,9.458517524763009e-09,9.92346826933499e-09,9.869779660220955e-09,9.805745548874256e-09,9.885809504339704e-09,9.560210401104996e-09,9.916249155139669e-09,9.875208206722164e-09,9.216336138706538e-09,9.168275028059725e-09,9.730484862302546e-09,9.663381206337364e-09,9.882171525532613e-09,9.500809028395452e-09,9.29881593947357e-09,9.951293122867357e-09,8.858535238687182e-09,9.690126034911371e-09,9.612023177396622e-09,9.246633680959349e-09,9.846786497291758e-09,9.73005853666109e-09,9.671140333011864e-09,9.799606459637287e-09,9.421256663699749e-09,9.019942126542446e-09,9.629161468183156e-09,9.4388781235466e-09,9.931426347975504e-09,9.489809826845884e-09,9.57527390710311e-09,9.470312534176628e-09,9.934666422850569e-09,9.786703003555887e-09,9.947967782863998e-09,9.652239896240644e-09,9.710277026897527e-09,9.847013870967203e-09,9.65894741966622e-09,9.894279173749965e-09,9.14616293812287e-09,9.24234200283536e-09,9.483386520514614e-09,9.634050002205186e-09,9.531447631161427e-09,9.607114023703045e-09,3:14:43,61260
DE/best/1/bin,2,30,0.9,9.882541007755208e-09,9.35992261474894e-09,9.840192660703906e-09,9.180496363114798e-09,9.814300483412808e-09,9.53392031988187e-09,9.157730573861045e-09,9.227107966580661e-09,9.998530003940688e-09,9.500240594206844e-09,9.367624898004578e-09,9.346166507384623e-09,9.81162884272635e-09,9.871683914752792e-09,9.273207979276776e-09,9.721759397507412e-09,9.897746622300474e-09,9.973916803573955e-09,9.613501106287003e-09,9.305239245804842e-09,9.779114407137968e-09,9.277925983042223e-09,9.65755475590413e-09,9.754415941642948e-09,9.84545067694853e-09,9.801198075365392e-09,8.692921937836218e-09,9.779768106454869e-09,8.765141501498874e-09,9.840903203439666e-09,9.745207307787496e-09,9.99446569949214e-09,9.54784695750277e-09,9.413355428478098e-09,9.551229140924988e-09,9.92906734609278e-09,9.881944151857171e-09,9.339998996438226e-09,9.636977438276516e-09,9.961553359971733e-09,9.683674306870673e-09,8.938314977058326e-09,9.988667670768335e-09,9.335821005151956e-09,9.672049827713636e-09,8.602967227488989e-09,9.153637847703068e-09,9.274714329876588e-09,9.204143225360896e-09,7.040711125227971e-09,9.173987791655236e-09,9.489062503074392e-09,3:12:49,92340
