algorithm,#Fc,D,percFES,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,run_31,run_32,run_33,run_34,run_35,run_36,run_37,run_38,run_39,run_40,run_41,run_42,run_43,run_44,run_45,run_46,run_47,run_48,run_49,run_50,run_51,mean,elapsed_time,evals
DE/best/1/bin,1,10,0.01,3060723.9886478977,10492140.71803022,3023180.673064685,12827998.673689956,6340894.10406673,5039480.522006086,4049003.7236783523,2473592.2589191715,1573558.6193247112,7106813.038638389,2583787.7240421944,4441499.5671279095,5074339.136892644,4780471.187202293,1607991.4489117325,3941119.1911391295,3053662.854410406,2125945.1471320875,3033231.2346506,5188301.8926999625,28244372.07669099,1914830.964927558,2932348.1119040907,4459760.544480314,10036633.009747935,4313985.807481471,13178039.264826424,4173672.8708169432,7278930.274308273,1807626.351554949,20557697.14789096,3033893.1079661143,6855393.443287212,9846045.132858897,1695894.0936572154,5247779.99817408,2403726.7060814067,10807439.428911578,10540921.981665144,7133270.486312341,10724207.999729946,3743136.203219954,7226493.00080297,13015442.591387136,2742411.176101725,4654872.271865403,2784387.477530153,1885589.608246507,12491187.43335469,6097014.431945716,15998070.493538907,6463584.494030237,0:02:44,990
DE/best/1/bin,1,10,0.1,506.96119241435014,103.57446869626459,173.49521871692428,690.2531486493933,148.59092428907914,1432.0486586214333,2440.11905520735,665.8049200274476,934.5841424552693,56.07021492655594,461.352170491542,469.2648934189687,1.7823964619137342,597.9066187523115,1753.4300322609452,18.589997160569734,3919.299106436988,590.8345992969042,3409.876022057448,438.9316699716942,0.263407957881725,94.18247203434518,105.7801301359168,2515.326758264801,1067.3376309749522,240.9632896419501,218.52499706214238,140.1037236333375,108.03661895257845,5.210161513970874,6174.099780383914,3019.5161857777366,1146.212543400407,78.15024614640055,933.4253973745178,16.442524591178383,373.1094460557956,693.241972347207,66.02887884617118,69.93170559488578,3268.861960440571,296.5248289502859,812.7120594191887,42.12604124361806,121.86580559862878,101.1008791960252,1007.2328289877423,137.15356278377192,1444.3537399025283,0.6848245915657571,4.061532859179252,845.398733038756,0:28:06,9690
DE/best/1/bin,1,10,0.2,0.20984662953762268,0.00041283560946681053,0.00013193895797769528,0.004344437912209287,0.00063627772206587,3.817045325433313,0.15177680792145054,4.956823094914853e-05,335.1033917473121,0.0016526665314415825,0.33051705767175577,0.010505342057243185,1.2447691770676386,1.0614841967659885,2.7663089071072875,0.004760571240069567,30.491181484268083,0.0040886406842446385,6.427544334997037e-06,0.011807640913374941,2.1261646097059383e-05,4.62229566409178e-05,0.00040796420198319083,0.05153527710479011,3.671977140129457e-07,0.13451553371032787,0.009283866764690174,0.01277611205310336,9.435703783524119,0.9769397318961524,0.0007246646528500378,0.2868655791025532,1.5427405870622548,0.2533286521157265,0.00031471969236918085,0.07618865588686674,6.579058087652356e-05,0.13270974647993228,0.20416010872224888,2.702591927180876,6.143395793856142e-05,0.0040266720350956575,2.3487411027645066e-05,0.011482992026273564,0.048015755550594015,6.673563702008778e-05,0.0016736219301378694,0.0010525738633049286,4.240355194440326e-05,0.002359094938611861,0.09192453673514933,7.6705170106011344,0:58:50,19380
DE/best/1/bin,1,10,0.3,2.683427169358765e-08,9.20725511832643e-07,1.2227350509874668e-07,9.97331381853428e-05,3.8083523179466283e-07,1.7120724749020155e-07,9.536819334243772e-09,9.979856940844911e-09,8.554921464565268e-07,2.612272155033679e-06,7.819975408551727e-06,0.00012445801107219268,4.404492247545022e-05,9.939611800291459e-09,2.098074986633946e-06,5.1794583555420095e-06,0.06347541059565742,1.3333917081581605e-08,1.3318100400283586e-07,1.7862205936580722e-08,9.746415230438288e-09,9.702006309453282e-09,1.1218006079616316e-08,8.999776923701576e-09,0.002684689729846923,3.0378211036463647e-05,1.4478073708801276e-05,8.067625600460815e-05,9.759062891134818e-09,0.00040722860190101073,5.482269926915251e-07,0.00081279808598822,0.002283428750644134,5.584667519542563e-07,3.3383041397883057e-07,7.126881484964542e-08,8.332420975420973e-09,9.984191251533048e-09,8.89339446530357e-09,0.004766948354230749,5.393193706026978e-05,8.891205993677431e-09,0.0032745325854790512,9.804367095966882e-09,8.79580852597428e-09,5.561928588804221e-07,8.492392566950002e-09,1.8649027708761425e-06,1.1386674714231047e-07,3.106993062829133e-08,1.5042111556340387e-06,0.0015329178998237413,1:23:17,29040
DE/best/1/bin,1,10,0.4,9.870277040135988e-09,3.356130662268697e-08,8.025736519812199e-09,9.496361030869593e-09,5.512731604540022e-09,7.808864666003501e-09,9.852456628323124e-09,8.800810746834031e-09,9.659501643000112e-09,7.621892450515588e-09,7.468813123523432e-09,9.748362117534269e-09,8.822595987112436e-09,6.385624544691383e-07,9.888140084512997e-09,9.617366458769537e-09,3.379480517651245e-08,7.3535204592189984e-09,9.982116466744628e-09,9.506479159426816e-09,7.761968845443334e-09,1.3728119085953951e-06,9.394142352903144e-09,9.971046210921486e-09,9.698652547740494e-09,3.7589350938560533e-06,9.540201517665993e-09,9.255046506950748e-09,8.972591558631393e-09,9.966555580831482e-09,4.915024447882388e-06,8.256733963207807e-09,9.319364835391752e-09,9.209117024511217e-09,9.925116728481951e-09,9.847951787378406e-09,0.0002952237616966613,9.55284917836252e-09,9.738926110003376e-09,3.350926537848409e-05,3.17354817980231e-08,9.610673146198678e-09,1.2896975931653287e-08,9.65225410709536e-09,9.267552059100126e-09,8.279812391265295e-09,1.6521113366252393e-08,7.3865322747224135e-09,9.231271747012215e-09,9.611966333977762e-09,8.915890248317737e-09,6.6648680961977735e-06,1:34:30,33690
DE/best/1/bin,1,10,0.5,9.651728305470895e-09,9.401347256243751e-09,5.7971192291006454e-09,9.1271203928045e-09,8.333856271747209e-09,9.879713047666884e-09,9.491714081377722e-09,9.74166880496341e-09,8.832984121909249e-09,9.936968581314433e-09,8.262063033726008e-09,9.059903050001594e-09,7.220506859084708e-09,8.964477160589013e-09,9.755112273523993e-09,9.828497127273296e-09,8.007816632016329e-09,8.774534876465623e-09,9.97343363451364e-09,9.934353784046834e-09,9.392152833243015e-09,9.832490377448266e-09,9.979075343835577e-09,3.828176886599977e-09,9.75434488736937e-09,9.617977525522292e-09,9.788323040993419e-09,9.960587021851096e-09,9.980567483580673e-09,9.867136441243929e-09,6.866116564196999e-09,9.680078960627725e-09,6.506226668534509e-09,7.006207169979462e-09,9.563521530253638e-09,9.75049374574155e-09,9.471179396314255e-09,9.69383506799204e-09,9.433477998754825e-09,9.548458024255524e-09,9.79545689006045e-09,8.023846476135077e-09,9.78627667791443e-09,8.649550409245421e-09,9.14648978778132e-09,8.315083732668427e-09,9.533280831419688e-09,9.74631575445528e-09,9.792955779630574e-09,9.62307922236505e-09,9.018464197652064e-09,9.037767553951092e-09,1:34:03,38130
DE/best/1/bin,1,10,0.6,8.432806453129159e-09,6.967226795495662e-09,9.1647933686545e-09,9.91887816326198e-09,9.386127430843771e-09,9.774595355338532e-09,9.752113783179084e-09,8.650872018733935e-09,9.718789328871935e-09,9.457849614591396e-09,9.622269203646285e-09,5.1053774541287575e-09,9.375057175020627e-09,8.938926043811078e-09,9.944130852090892e-09,9.73639657786407e-09,9.352788765681908e-09,9.958853297575843e-09,8.468475698464317e-09,9.826223390518862e-09,9.531078148938832e-09,8.996636324809515e-09,7.775938115628378e-09,9.977028980756586e-09,8.004803930816706e-09,9.777295417734422e-09,8.615330671091215e-09,9.73000169324223e-09,9.861295779955981e-09,9.999652661463188e-09,9.336616813016008e-09,9.893597052723635e-09,7.909306987130549e-09,9.442317150387679e-09,7.430827508869697e-09,9.79761693997716e-09,9.481453844273346e-09,8.723347377781465e-09,9.591914817974612e-09,9.930417377290725e-09,9.81491155016556e-09,8.208161261791247e-09,9.908134757097288e-09,9.685280133453489e-09,9.000075351650594e-09,9.976147907764243e-09,8.199521062124404e-09,9.39483868478419e-09,8.993396249934449e-09,9.901484077090572e-09,7.652204203623114e-09,9.139082031455758e-09,1:33:50,31980
DE/best/1/bin,1,10,0.7,9.825569691201965e-09,9.917201282405587e-09,9.715080295791269e-09,9.805461331779952e-09,8.800952855381183e-09,8.427903708252417e-09,9.7563344070295e-09,9.728466920932988e-09,9.964878699975088e-09,9.856591987045247e-09,9.328815053777362e-09,8.055877742663142e-09,9.190571859107875e-09,9.277442813981908e-09,9.973064152291045e-09,9.51129663917527e-09,8.791587902123865e-09,9.17845000003581e-09,8.35790103792533e-09,8.301455522996548e-09,9.410086931893602e-09,8.521467975697306e-09,9.924363553182047e-09,8.904819992494595e-09,9.556131885801733e-09,9.658094768383307e-09,8.915478133530996e-09,9.784713483895756e-09,8.016883157324628e-09,8.375963034268352e-09,9.853167171058884e-09,8.868681788953836e-09,9.917997090269635e-09,9.63596846759174e-09,9.383271049046016e-09,9.887145324682932e-09,7.573774496449914e-09,9.829022928897757e-09,9.643983389651112e-09,9.571181180945132e-09,4.782648943546518e-09,9.99042981675302e-09,7.692946724091598e-09,9.508880793873686e-09,9.708472248348698e-09,9.790184662961108e-09,8.185381261682778e-09,7.298083914974995e-09,8.176257892955617e-09,9.708429615784553e-09,9.996227845476824e-09,9.134020459379255e-09,1:34:50,31380
DE/best/1/bin,1,10,0.8,9.850126048149832e-09,8.405464768657112e-09,6.717044698234531e-09,9.054119232132509e-09,8.735838719076128e-09,9.535710887575988e-09,9.29404109228926e-09,7.774488608447426e-09,9.139995427176473e-09,9.2622940428555e-09,9.790966259970446e-09,8.000739626368157e-09,8.11515121768025e-09,9.2970680043436e-09,8.68831762090849e-09,9.71481028955168e-09,9.272568490814592e-09,8.258695061158505e-09,9.888083241094137e-09,9.765557251739665e-09,9.236487130692694e-09,9.79299841219472e-09,9.528349664833511e-09,9.005233891912212e-09,5.253269819149864e-09,8.437183396381442e-09,9.50255696352542e-09,9.281407642447448e-09,9.75070690856228e-09,9.66345226061094e-09,8.883532132131222e-09,8.937050210988673e-09,7.824112913112913e-09,9.818307944442496e-09,9.980993809222127e-09,9.615988005862164e-09,9.54429424382397e-09,9.623676078263088e-09,9.766367270458431e-09,7.760547759971814e-09,8.992458333523247e-09,9.831452985054057e-09,8.740315138311416e-09,8.303416620947246e-09,7.6927619829803e-09,9.73106750734587e-09,8.846527066452836e-09,9.761237151906245e-09,9.78526770722965e-09,9.926353072842176e-09,8.561954700780916e-09,9.018439398317369e-09,1:36:04,39780
DE/best/1/bin,1,10,0.9,8.010147212189622e-09,7.838224291845108e-09,7.0520655981454175e-09,6.5971192952929406e-09,7.15145631602354e-09,7.0880901148484554e-09,9.363162689624003e-09,9.196355676976964e-09,9.249873755834416e-09,9.537941991766274e-09,6.981764499869314e-09,9.586216265233816e-09,8.138556495396188e-09,8.710287602298196e-09,9.871030215435894e-09,9.414364399162878e-09,5.1165471859349054e-09,9.831595093601207e-09,8.726047440177354e-09,9.874483453131688e-09,9.224194741364045e-09,8.34926083825849e-09,9.133799494520643e-09,9.472586270931059e-09,9.957489055523183e-09,9.9712451628875e-09,9.55702716964879e-09,8.640768101031426e-09,7.949594760248145e-09,9.804338674257451e-09,9.95444793261413e-09,9.68009317148244e-09,9.867534345175956e-09,9.286608815273212e-09,9.736837114360242e-09,9.20027787287836e-09,8.2470990037109e-09,8.360245828953339e-09,9.349321317131398e-09,8.692879305272072e-09,9.284846669288528e-09,8.816584795567906e-09,8.600224532528955e-09,9.698780445432929e-09,9.850111837295117e-09,9.728069017000962e-09,9.785921406546551e-09,9.973859960155096e-09,9.984759685721657e-09,9.371603937324835e-09,9.935803291227783e-09,8.956893022478457e-09,1:32:41,31680
