Algorithm,Fi - D30,Best,Worst,Median,Mean,Std Dev,Success Rate (%),Elapsed Time (min)
CDE/best/1/bin,F2,6.10E-09,9.99E-09,9.61E-09,9.44E-09,6.41E-10,100.00,252.27
CDE/best/1/bin,F7,8.48E-09,1.10E-01,1.48E-02,2.03E-02,2.14E-02,21.57,684.78
CDE/best/1/bin,F14,1.75E-01,3.85E-01,2.67E-01,2.78E-01,5.14E-02,0.00,922.18
CDE/best/1/bin,F6,7.46E+00,1.95E+01,1.21E+01,1.29E+01,3.04E+00,0.00,968.45
CDE/best/1/bin,F9,2.98E+01,2.27E+02,7.66E+01,8.10E+01,3.21E+01,0.00,887.35
CDE/best/1/bin,F1,6.03E+01,4.88E+04,9.60E+03,1.14E+04,1.06E+04,0.00,945.03
