Algorithm,Fi - D10,Best,Worst,Median,Mean,Std Dev,Success Rate (%),Elapsed Time (min)
CDE/best/1/bin,F1,3.88E-09,2.41E+07,8.43E-04,4.77E+05,3.34E+06,39.22,958.23
CDE/best/1/bin,F2,5.35E-09,4.28E+04,9.66E-09,1.12E+03,6.06E+03,60.78,788.38
