Algorithm,Fi - D10,Best,Worst,Median,Mean,Std Dev,Success Rate (%),Elapsed Time (min)
CDE/best/1/bin,F2,5.70E-09,1.00E-08,8.35E-09,8.36E-09,1.12E-09,100.00,44.68
CDE/best/1/bin,F1,6.38E-09,9.99E-09,9.33E-09,9.11E-09,8.17E-10,100.00,111.23
CDE/best/1/bin,F6,7.14E-09,3.46E+00,3.94E-01,7.28E-01,8.34E-01,3.92,280.42
CDE/best/1/bin,F7,9.86E-03,8.42E-01,1.16E-01,1.63E-01,1.54E-01,0.00,292.83
CDE/best/1/bin,F14,8.49E-02,8.29E-01,2.96E-01,2.94E-01,1.09E-01,0.00,307.38
CDE/best/1/bin,F9,3.98E+00,4.79E+01,1.69E+01,1.89E+01,9.77E+00,0.00,308.55
