[2019-09-04 11:58:00]	run	elapsedTime	successRate
[2019-09-04 12:02:34]	1/4	0:00:00	0
[2019-09-04 12:04:07]	2/4	0:04:00	1
[2019-09-04 12:05:55]	3/4	0:05:33	2
[2019-09-04 12:09:17]	4/4	0:07:21	2
