[2019-08-25 17:58:57]	run	elapsedTime	successRate
[2019-08-25 18:01:07]	1/2	0:00:00	1
[2019-08-25 18:10:01]	1/2	0:00:00	0
[2019-08-25 18:10:51]	2/2	0:03:49	1
